,Analysis,Attribute,Standard names
626,SE_HPLC_4,SE-HPLC HMW SPECIES (CUMULATIVE AREA),SE-HPLC HMW
627,SE_HPLC,HMW Retention Time (Result),SE-HPLC HMW
628,SE_HPLC,LMW Retention Time (Result),SE-HPLC LMW
629,SE_HPLC_4,SE-HPLC HMW (AREA) PEAK 3,SE-HPLC HMW
630,SE_HPLC,SE-HPLC- HMW,SE-HPLC HMW
631,BIO_SE-HPLC,SE-HPLC HIGH MOLECULAR WEIGHT(HMW) SPECIES,SE-HPLC HMW
632,SE_HPLC,SE-HPLC HMW SPECIES,SE-HPLC HMW
633,SE_HPLC,SE-HPLC HMW,SE-HPLC HMW
634,SE_HPLC_4,SE-HPLC HIGH MOLECULAR WEIGHT (HMW) SPECIES,SE-HPLC HMW
635,SE_HPLC_2,SE-HPLC HMW,SE-HPLC HMW
636,BIO_SE-HPLC,SE-HPLC HMW,SE-HPLC HMW
637,SE_HPLC_2,SE-HPLC HIGH MOLECULAR WEIGHT (HMW) SPECIES,SE-HPLC HMW
638,BIO_SE-HPLC,SE-HPLC HMW SPECIES,SE-HPLC HMW
639,BIO_SE-HPLC,SE-HPLC HIGH MOLECULAR WEIGHT (HMW) SPECIES,SE-HPLC HMW
640,SE_HPLC_4,SE-HPLC HMW (AREA) PEAK 1,SE-HPLC HMW
641,SE_HPLC,SE-HPLC AREA% SUM HMWP,SE-HPLC HMW
642,SE_HPLC,"SE-HPLC, %HMW",SE-HPLC HMW
643,SE_HPLC_4,SE-HPLC HMW (AREA) PEAK 2,SE-HPLC HMW
644,SE_HPLC,SE-HPLC HIGH MOLECULAR WEIGHT (HMW) SPECIES,SE-HPLC HMW
645,SE_HPLC,Size Exclusion Chromatography Monomer,SE-HPLC MONOMER
646,SE_HPLC,Size Exclusion Chromatography HMW,SE-HPLC HMW
647,SE_HPLC,Size Exclusion Chromatography LMW,SE-HPLC LMW
648,SE_HPLC,SE-HPLC HIGH MOLECULAR WEIGHT (HMW),SE-HPLC HMW
649,SE_HPLC_2,SE-HPLC LMW,SE-HPLC LMW
650,SE_HPLC,SE-HPLC AREA% SUM LMWP,SE-HPLC LMW
651,SE_HPLC_4,SE-HPLC LMW (AREA) PEAK 4,SE-HPLC LMW
652,BIO_SE-HPLC,SE-HPLC LMW,SE-HPLC LMW
653,SE_HPLC_4,SE-HPLC LMW (AREA) PEAK 1,SE-HPLC LMW
654,SE_HPLC_4,SE-HPLC LOW MOLECULAR WEIGHT (LMW) SPECIES,SE-HPLC LMW
655,BIO_SE-HPLC,SE-HPLC LOW MOLECULAR WEIGHT (LMW) SPECIES,SE-HPLC LMW
656,SE_HPLC,SE-HPLC LOW MOLECULAR WEIGHT (LMW),SE-HPLC LMW
657,BIO_SE-HPLC,SE-HPLC LOW MOLECULAR WEIGHT(LMW) SPECIES,SE-HPLC LMW
658,SE_HPLC,SE-HPLC LMW,SE-HPLC LMW
659,SE_HPLC,"SE-HPLC, % LMW",SE-HPLC LMW
660,SE_HPLC_4,SE-HPLC LMW (AREA) PEAK 3,SE-HPLC LMW
661,SE_HPLC,SE-HPLC LOW MOLECULAR WEIGHT (LMW) SPECIES,SE-HPLC LMW
662,SE_HPLC_4,SE-HPLC LMW (AREA) PEAK 2,SE-HPLC LMW
663,SE_HPLC_4,SE-HPLC LMW SPECIES (CUMULATIVE AREA),SE-HPLC LMW
664,SE_HPLC,SE-HPLC LMW SPECIES,SE-HPLC LMW
665,BIO_SE-HPLC,SE-HPLC LMW SPECIES,SE-HPLC LMW
666,SE_HPLC,SE-HPLC- LMW,SE-HPLC LMW
667,SE_HPLC,SE-HPLC HIGH MOLECULAR WEIGHT (LMW) SPECIES,SE-HPLC LMW
668,SE_HPLC_2,SE-HPLC LOW MOLECULAR WEIGHT (LMW) SPECIES,SE-HPLC LMW
669,BIO_SE-HPLC,SE-HPLC MONOMER PEAK,SE-HPLC MONOMER
670,HPLC,SE-HPLC  MONOMER,SE-HPLC MONOMER
671,HPLC,SE-HPLC MONOMER RETENTION TIME,SE-HPLC MONOMER
672,SE_HPLC,SE-HPLC MONOMER RETENTION TIME,SE-HPLC MONOMER
673,SE_HPLC,SE-HPLC MONOMER,SE-HPLC MONOMER
674,HPLC,SE-HPLC  MONOMER RETENTION TIME,SE-HPLC MONOMER
675,SE_HPLC,SE-HPLC (GPC) MONOMER,SE-HPLC MONOMER
676,BIO_SE-HPLC,SE-HPLC PURITY (MONOMER),SE-HPLC MONOMER
677,SE_HPLC,SE-HPLC (GP)  MONOMER,SE-HPLC MONOMER
678,SE_HPLC,HPLC-SEC Monomer,SE-HPLC MONOMER
679,SE_HPLC_4,SE-HPLC LMW species (Cumulative Area),SE-HPLC LMW
680,SE_HPLC_4,SE-HPLC HMW species (Cumulative Area),SE-HPLC HMW
681,SE_HPLC_4,SE-HPLC Purity (Monomer),SE-HPLC MONOMER
682,BIO_SE-HPLC,SE HPLC High Molecular Weight (HMW) Species,SE-HPLC HMW
683,BIO_SE-HPLC,SE HPLC Monomer,SE-HPLC MONOMER
684,BIO_SE-HPLC,SE HPLC Low Molecular Weight (LMW) Species,SE-HPLC LMW
685,SE_HPLC_4,SE-HPLC PURITY (MONOMER),SE-HPLC MONOMER
686,BIO_SE-HPLC,SE-HPLC PURITY MONOMER,SE-HPLC MONOMER
687,SE_HPLC_4,SE-HPLC MONOMER,SE-HPLC MONOMER
688,SE_HPLC,SE-HPLC (GP) MONOMER,SE-HPLC MONOMER
689,SE_HPLC_2,SE-HPLC MONOMER,SE-HPLC MONOMER
690,SE_HPLC,SE-HPLC AREA% MONOMER,SE-HPLC MONOMER
691,BIO_SE-HPLC,SE-HPLC MONOMER,SE-HPLC MONOMER
692,SE_HPLC,SE-UPLC HIGH MOLECULAR WEIGHT (HMW) SPECIES,SE-UPLC HMW
693,SE_HPLC,SE-UPLC HMW SPECIES,SE-UPLC HMW
694,BIO_SE-HPLC,SE-UPLC HMW SPECIES,SE-UPLC HMW
695,BIO_SE-HPLC,SE-UPLC HIGH MOLECULAR WEIGHT (HMW),SE-UPLC HMW
696,BIO_SE-HPLC,SE-UPLC HMW SPECIES,SE-UPLC HMW
697,BIO_SE-HPLC,SIZE EXCLUSION UPLC (SE-UPLC) HMW,SE-UPLC HMW
698,BIO_SE-HPLC,SE-UPLC HIGH MOLECULAR WEIGHT (HMW) SPECIES,SE-UPLC HMW
699,BIO_SE-HPLC,SE-UPLC HIGH MOLECULAR (HMW) SPECIES,SE-UPLC HMW
700,BIO_SE-HPLC,SE-UPLC - HIGH MOLECULAR WEIGHT (HMW) SPECIES,SE-UPLC HMW
701,BIO_SE-HPLC,SE-UPLC Total main peak,SE-UPLC MONOMER
702,BIO_SE-HPLC,SE-UPLC TOTAL HMW SPECIES,SE-UPLC HMW
703,SE_HPLC,SE-UPLC LMW SPECIES,SE-UPLC LMW
704,BIO_SE-HPLC,SE-UPLC TOTAL LMW SPECIES,SE-UPLC LMW
705,BIO_SE-HPLC,SE-UPLC LOW MOLECULAR (LMW) SPECIES,SE-UPLC LMW
706,BIO_SE-HPLC,SE-UPLC LOW MOLECULAR WEIGHT (LMW) SPECIES,SE-UPLC LMW
707,BIO_SE-HPLC,SE-UPLC LMW SPECIES,SE-UPLC LMW
708,BIO_SE-HPLC,SIZE EXCLUSION UPLC (SE-UPLC) LMW,SE-UPLC LMW
709,BIO_SE-HPLC,SE-UPLC LMW SPECIES,SE-UPLC LMW
710,SE_HPLC,SE-UPLC LOW MOLECULAR WEIGHT (LMW) SPECIES,SE-UPLC LMW
711,SE_HPLC_2,SEC LMW (HPLC),SE-HPLC LMW
712,SE_HPLC_2,SEC Monomer (HPLC),SE-HPLC MONOMER
713,SE_HPLC_2,SEC HMW (HPLC),SE-HPLC HMW
714,BIO_SE-HPLC,SE-UPLC LOW MOLECULAR WEIGHT (LMW),SE-UPLC LMW
715,SE_HPLC,SE-UPLC MONOMER,SE-UPLC MONOMER
716,BIO_SE-HPLC,SE-UPLC MONOMER,SE-UPLC MONOMER
717,BIO_SE-HPLC,SIZE EXCLUSION UPLC (SE-UPLC) MONOMER,SE-UPLC MONOMER
718,BIO_SE-HPLC,SE-UPLC MONOMER PEAK,SE-UPLC MONOMER
719,PARTICULATE_MATTER_MICROSCOPY,Microflow imaging >=25 micrometers,Particulate-Matter >= 25-um
720,PARTICLE_MATTER,TOTAL PARTICLE COUNT 25åµ,Particulate-Matter >= 25-um
721,PARTICULATE_MATTER_MICRO_2,Particulate Matter  10 - 25 micrometers,Particulate-Matter >= 10-um
722,PARTICULATE_MATTER_MICROSCOPY,Microflow imaging >= 10-25 micrometer particle,Particulate-Matter >= 10-um
723,PARTICULATE_MATTER_MICROSCOPY,Microflow imaging >= 25 micrometer particle,Particulate-Matter >= 25-um
724,PARTICULATE_MATTER_MICROSCOPY,(Particulate Matter > = 25 micrometer),Particulate-Matter >= 25-um
725,PARTICULATE_MATTER_MICROSCOPY,Particulate Matter (MFI) >=25 micrometers,Particulate-Matter >= 25-um
726,PARTICULATE_MATTER_MICROSCOPY,Subvisible Particulate Matter[Particulate Matter >/=25 uM),Particulate-Matter >= 25-um
727,PARTICULATE_MATTER_MICROSCOPY,Particulate Matter >= 25 micrometers,Particulate-Matter >= 25-um
728,PARTICULATE_MATTER_MICROSCOPY,Particulate Matter_4>=25 micrometers,Particulate-Matter >= 25-um
729,PARTICULATE_MATTER_MICROSCOPY,Particulate Matter >= 25 um,Particulate-Matter >= 25-um
730,PARTICULATE_MATTER_MICROSCOPY,Subvisible Particulate Matter[Particulate Matter >/= 25 uM),Particulate-Matter >= 25-um
731,95007433,SUM OF PARTICLES PER CONTAINER 25 MICRON,Particulate-Matter >= 25-um
732,BIO_PARTICULATE_MATTER,Particles >= 10 Microns (Concentrate),Particulate-Matter >= 10-um
733,PARTICULATE_MATTER,Particulate Matter (HIAC) >= 25 micrometers,Particulate-Matter >= 25-um
734,PARTICULATE_MATTER_MICROSCOPY,Subvisible Particulate Matter[Particulate Matter >/= 10 uM),Particulate-Matter >= 10-um
735,BIO_PARTICULATE_MATTER,Particulate Matter (HIAC) >= 10 micrometers,Particulate-Matter >= 10-um
736,BIO_PARTICULATE_MATTER,Particulate Matter (HIAC) >= 25 micrometers,Particulate-Matter >= 25-um
737,PARTICULATE_MATTER,Particulate Matter (HIAC) >= 10 micrometers,Particulate-Matter >= 10-um
738,BIO_PARTICULATE_MATTER,Particles >= 25 Microns (Concentrate),Particulate-Matter >= 25-um
739,95007433,TOTAL  PARTICLES PER CONTAINER 25 MICRON,Particulate-Matter >= 25-um
740,A_250601,PARTICULATE MATTER 10 MICRONS,Particulate-Matter >= 10-um
741,250195,HIAC EQUAL GREATER THAN 25 MICRONS,Particulate-Matter >= 25-um
742,PARTICULATE_MATTER,Sub-Visible Particulate Matter >= 10 micrometers,Particulate-Matter >= 10-um
743,PARTICULATE_MATTER,Sub-Visible Particulate Matter >= 25 micrometers,Particulate-Matter >= 25-um
744,PARTICULATE_MATTER,Subvisible Particles (HIAC) >= 10 micrometers,Particulate-Matter >= 10-um
745,PARTICULATE_MATTER_MICRO_2,Particulate Matter (Microscopy) >= 25 micrometers,Particulate-Matter >= 25-um
746,PARTICULATE_MATTER_MICROSCOPY,Microflow imaging >=25 micrometer particle,Particulate-Matter >= 25-um
747,PARTICULATE_MATTER_MICROSCOPY,Microflow imaging >=10 - <25 micrometer particle,Particulate-Matter >= 10-um
748,C_95007433,TOTAL  PARTICLES PER CONTAINER 10 MICRON,Particulate-Matter >= 10-um
749,PARTICULATE_MATTER_MICROSCOPY,Microflow imaging >=10 micrometer particle,Particulate-Matter >= 10-um
750,PARTICULATE_MATTER_MICROSCOPY,Particulate Matter (HIAC) >=10 micrometers,Particulate-Matter >= 10-um
751,PARTICULATE_MATTER_MICROSCOPY,Particulate Matter_3>=10-25 micrometers,Particulate-Matter >= 10-um
752,PARTICULATE_MATTER_MICROSCOPY,Particulate Matter >=10-25 micrometers,Particulate-Matter >= 10-um
753,A_250601,PARTICULATE MATTER 25 MICRONS,Particulate-Matter >= 25-um
754,D_250601,TOTAL PARTICLES 25 MICRON,Particulate-Matter >= 25-um
755,C_250602,PARTICLES >=25 MICRONS,Particulate-Matter >= 25-um
756,GBL_250602,PARTICLES >=10 MICRONS,Particulate-Matter >= 10-um
757,C_250601,TOTAL PARTICLES 10 MICRON,Particulate-Matter >= 10-um
758,CE_HPLC,Cation Exchange Chromatography Acidic Peak,CEX ACIDIC PEAKS
759,ISOELECTRIC_FOCUSING,iCIEF Basic Peaks Cumulative Area,ICIEF BASIC PEAKS
760,ISOELECTRIC_FOCUSING,iCIEF Main Peaks Cumulative Area,ICIEF MAIN PEAK
761,ISOELECTRIC_FOCUSING,iCIEF Acidic Peaks Cumulative Area,ICIEF ACIDIC PEAKS
762,P_M15709,BIOASSAY - CELL BASED,Potency by Cell-Based Bioassay
763,RP_HPLC,RP-HPLC nonPEGylated aCD28,RP-HPLC Purity
764,RP_HPLC,RP-HPLC monopeg purity,RP-HPLC Purity
765,HPLC,RP-HPLC unPEGylated FGF21,RP-HPLC Purity
766,RP_HPLC,Pre-Peaks,RP-HPLC Purity
767,RP_HPLC,RP HPLC Post-Peak,RP-HPLC Purity
768,RP_HPLC,RP HPLC Pre-Peak,RP-HPLC Purity
769,RP_HPLC,RP HPLC nonPEGylated aCD28 peak,RP-HPLC Purity
770,RP_HPLC,Titer,RP-HPLC Purity
771,RP_HPLC_2,RP HPLC/ELSD Free PEG Main Peak,RP-HPLC Purity
772,HPLC,RP-HPLC Main Peaks,RP-HPLC Purity
773,RP_HPLC,RP HPLC Unformatted aCD28,RP-HPLC Purity
774,RP_HPLC,RP HPLC Pre Peaks,RP-HPLC Purity
775,RP_HPLC,"Purity, RP-HPLC",RP-HPLC Purity
776,RP_HPLC_2,Free PEG (RP-HPLC),RP-HPLC Purity
777,RP_HPLC,RP-HPLC Purity (Main Peak),RP-HPLC Purity
778,HPLC,Reversed Phase Main Peak,RP-HPLC Purity
779,RP_HPLC,Protein ratio (Ipilimumab/nivolumab),RP-HPLC Purity
780,RP_HPLC,Residual Free Drug,RP-HPLC Purity
781,RP_HPLC_2,ree PEG - RP HPLC/ELSD,RP-HPLC Purity
782,RP_HPLC,Anti-LAG3 peak area,RP-HPLC Purity
783,HPLC,RP-HPLC Main Peaks,RP-HPLC Purity
784,HPLC,RP-HPLC Post-Peaks,RP-HPLC Purity
785,RP_HPLC,RP HPLC 938787 Methionyl-anti IL23,RP-HPLC Purity
786,HPLC,RP HPLC 938787Acetyl- anti IL23,RP-HPLC Purity
787,Y_SM_250196_R,B7 BINDING  SPR,SPR Binding activity
788,Y_SM_95007441_R,B7 BINDING  SPR,SPR Binding activity
789,Y_SM_250519_R,B7 BINDING SPR,SPR Binding activity
790,Y_SM_250196_R,RM B7 BINDING  SPR,SPR Binding activity
791,Y_SM_95007441_R,RM B7 BINDING  SPR,SPR Binding activity
792,Y_SM_250519_R,RM B7 BINDING SPR,SPR Binding activity
793,CD137_BINDING_SPR_ASSAY,CD137 Binding (Surface Plasmon Resonance),SPR Binding activity
794,B7_BINDING_BIACORE_ASSAY,B7 Binding (Surface Plasmon Resonance),SPR Binding activity
795,BINDING_SPR,Binding Assay SPR Result (ka1),SPR Binding activity
796,BINDING_SPR,Binding Assay SPR Result (kd1),SPR Binding activity
797,B7_BINDING_BIACORE_ASSAY,B7 Binding Biacore Assay Result (Surface Plasmon Resonance),SPR Binding activity
798,95007441_B7_BINDING,B7 BINDING BIACORE RESULT,SPR Binding activity
799,95007441_B7_BINDING,B7 BINDING BIACORE RESULT 6,SPR Binding activity
800,A_250519,B7 BINDING (SURFACE PLASMON RESONANCE),SPR Binding activity
801,A_250196,B7 BINDING (SURFACE PLASMON RESONANCE),SPR Binding activity
802,A_95007441,B7 BIND. SURF. PLASM. RES. SYRACUSE,SPR Binding activity
803,B7_BINDING_BIACORE_ASSAY,B7 Binding (Surface Plasmon Resonance),SPR Binding activity
804,95007441_B7_BINDING,B7 BINDING BIACORE RESULT,SPR Binding activity
805,ELISA,Potency (Cell-Based Bioassay),Potency by Cell-Based Bioassay
806,ELISA,Functional Potency by Cell-Based Assay (of Reference Standar,Potency by Cell-Based Bioassay
807,D_250475,IL2 INHIBITION ASSAY,Potency by Cell-Based Bioassay
808,D_250207,HUMAN CELL IL-2 INHIBITION ASSAY,Potency by Cell-Based Bioassay
809,POTENCY_1,Potency NKG2D (SPR),SPR Binding activity
810,D_M00002527,PURITY REDUCED MAJOR BAND,CE-SDS (REDUCED) PURITY
811,CE_SDS,CE SDS (Non-Reduced) Monomer,CE-SDS (NON-REDUCED) PURITY
812,CE_SDS,CE-SDS Reduced sum of heavy and light chain peaks,CE-SDS (REDUCED) PURITY
813,CE_SDS,CE-SDS (NR) - Corrected Area% of IgG Purity,CE-SDS (NON-REDUCED) PURITY
814,CE_SDS_2,CGE(Reduced) Purity (LC and HC peaks),CE-SDS (REDUCED) PURITY
815,CE_SDS_2,CE-SDS (Reduced) Purity of heavy and light chain peaks,CE-SDS (REDUCED) PURITY
816,CE_SDS,CE-SDS (Non-reduced) HHL Peak,CE-SDS (NON-REDUCED) HHL
817,CE_SDS_2,CGE (Reduced) Purity (HC+LC),CE-SDS (REDUCED) PURITY
818,CE-SDS (Non-Reduced) ,HHL,CE-SDS (Non-Reduced) HHL
819,CE-SDS (Non-Reduced) ,Purity,CE-SDS (Non-Reduced) Purity
820,CE-SDS (Reduced) ,Purity,CE-SDS (Reduced) Purity
821,SDS-PAGE (Non-Reduced),Purity,SDS-PAGE (Non-Reduced) Purity
822,SDS-PAGE (Reduced),Purity,SDS-PAGE (Reduced) Purity
823,RP-HPLC,Purity (Main Peak),RP-HPLC Purity
824,IEF,Acidic Peaks,IEF Acidic Peaks
825,IEF,Basic Peaks,IEF Basic Peaks
826,IEF,Main Peak,IEF Main Peak
827,iCIEF,Acidic Peaks,iCIEF Acidic Peaks
828,iCIEF,Basic Peaks,iCIEF Basic Peaks
829,iCIEF,Main Peak,iCIEF Main Peak
830,CEX,Acidic Peaks,CEX Acidic Peaks
831,CEX,Basic Peaks,CEX Basic Peaks
832,CEX,Main Peak,CEX Main Peak
833,AEX,Acidic Peaks,AEX Acidic Peaks
834,AEX,Basic Peaks,AEX Basic Peaks
835,AEX,Main Peak,AEX Main Peak
836,SE-HPLC,HMW,SE-HPLC HMW
837,SE-HPLC,LMW,SE-HPLC LMW
838,SE-HPLC,Monomer,SE-HPLC Monomer
839,SE-UPLC,HMW,SE-UPLC HMW
840,SE-UPLC,LMW,SE-UPLC LMW
841,SE-UPLC,Monomer,SE-UPLC Monomer
842,HIAC or UV,Particulate-Matter >= 10-um,Particulate-Matter >= 10-um
843,HIAC or UV,Particulate-Matter >= 25-um,Particulate-Matter >= 25-um
844,Cell-Based Bioassay,Potency,Potency by Cell-Based Bioassay
845,ELISA,Binding activity or Potency,Potency by Binding ELISA
846,SPR/Biocore,Binding activity,SPR Binding activity
847,pH,pH,pH
848,A280,Protein Concentration,Protein Concentration (A280)
849,Polysorbate 80,Polysorbate 80,Polysorbate 80